,회사명,거래소코드,회계년도,배당금_현금,상장협 산업분류 코드(중분류),자산,장기차입금,매출액,영업활동으로 인한 현금흐름,매출액증가율,총자산자연로그,배당금지급_여부,산업매출액증가율,WW지수
1727,(주)케이지이니시스,035600,2022,10647395.0,105800,1452980.0,37627.0,1177625.0,54009.0,0.1636898144717014,14.189127177832773,1,0.09154042760427497,-68.5552369173925
1729,(주)케이티서브마린,060370,2022,737771.0,64200,120255.0,0.0,42787.0,1705.0,0.4321049636844395,11.697369767145162,1,0.39070383927596947,-55.324636850020305
1731,(주)케이티알파,036030,2022,0.0,74600,407835.0,0.0,469574.0,50131.0,-0.004036252033503225,12.918617959825102,0,0.22369243083476922,-55.66469960172622
1733,(주)케이프,064820,2022,2970173.0,33100,2328847.0,101330.0,609700.0,43330.0,0.4256452465241567,14.660883853277912,1,0.34094962022827735,-68.79790104700363
1735,(주)케이피에스,256940,2022,0.0,32900,85559.0,0.0,14617.0,-866.0,2.430415395447078,11.356961475423505,0,0.12395095719486701,-57.120677411661624
1737,(주)케이피에프,024880,2022,2603205.0,32500,665785.0,15215.0,819026.0,16168.0,0.5677419107851094,13.408722074581199,1,0.28512660146741625,-64.45017721647525
1739,(주)케이피엠테크,042040,2022,0.0,32000,128678.0,0.0,41286.0,-2811.0,0.1495475428094111,11.765068438801341,0,0.23511295413395092,-49.6927738411722
1741,(주)케이피티유,054410,2022,0.0,32500,82433.0,0.0,36870.0,25.0,0.17095944357989012,11.319741121161568,0,0.28512660146741625,-47.499687467736415
1743,(주)케일럼,258610,2022,0.0,32500,128870.0,2710.0,86003.0,-12684.0,0.6250590480509419,11.766559423282438,0,0.28512660146741625,-50.112450614230234
1746,(주)켐트로닉스,089010,2022,2885848.0,32000,469522.0,57958.0,620963.0,39872.0,0.10220596327181201,13.059470434892594,1,0.23511295413395092,-62.13478945554374
1748,(주)켐트로스,220260,2022,0.0,32000,97459.0,2156.0,57025.0,4815.0,0.18076405424992234,11.487187055725116,0,0.23511295413395092,-49.18127770224841
1750,(주)코난테크놀로지,402030,2022,0.0,105800,49868.0,0.0,15388.0,-4687.0,-0.1378788727659813,10.817134793464865,0,0.09154042760427497,-45.32381270419795
1752,(주)코다코,046070,2022,0.0,33000,453942.0,44616.0,309738.0,14498.0,0.23151365750864777,13.025724715558372,0,0.17408855123907996,-56.43201919864155
1754,(주)코데즈컴바인,047770,2022,0.0,31400,84061.0,0.0,39053.0,3289.0,0.020619903826050594,11.339298004752921,0,0.1681073452703214,-48.6064357359256
1756,(주)코디,080530,2022,0.0,32000,59559.0,2000.0,55200.0,-5054.0,0.008016654188199631,10.994722696865189,0,0.23511295413395092,-45.16396871817025
1758,(주)코렌텍,104540,2022,0.0,32700,171817.0,5683.0,63909.0,10599.0,0.43197400851445217,12.054185235906921,0,0.175691303856638,-53.25017170744074
1760,(주)코리아나화장품,027050,2022,0.0,32000,105529.0,0.0,80394.0,5600.0,-0.07646180356117174,11.566741075641843,0,0.23511295413395092,-48.71079272314523
1763,(주)코맥스,036690,2022,779654.0,32600,95409.0,0.0,155999.0,-5634.0,0.10304328765573516,11.465928192609317,1,0.06811149574196777,-55.778633898123054
1765,(주)코메론,049430,2022,2246093.0,32700,207719.0,307.0,82710.0,23571.0,0.06285097469769593,12.243941483773742,1,0.175691303856638,-59.53079221688131
1767,(주)코미코,183300,2022,9940569.0,32900,387797.0,19010.0,288376.0,78653.0,0.12190225721866466,12.868237285814402,1,0.12395095719486701,-63.725321452217045
1769,(주)코미팜,041960,2022,0.0,32100,111751.0,3057.0,39801.0,-1808.0,0.11030211733199431,11.624028460981638,0,0.10024222681444007,-50.304638141794115
1771,(주)코세스,089890,2022,0.0,32900,74518.0,0.0,72931.0,12917.0,-0.05505312257061415,11.218795985922732,0,0.12395095719486701,-49.483116736928345
1773,(주)코센,009730,2022,0.0,32400,45517.0,0.0,66613.0,-9645.0,0.46068327339707044,10.725841161531715,0,0.19117699359623958,-44.927807689040975
1775,(주)코스나인,082660,2022,0.0,32000,48160.0,0.0,8998.0,-5561.0,-0.28274212833798323,10.782284079982702,0,0.23511295413395092,-43.00353002173743
1777,(주)코스메카코리아,241710,2022,0.0,32000,392756.0,34742.0,399399.0,16695.0,0.00739786009392987,12.880943832894875,0,0.23511295413395092,-54.50495013318293
1779,(주)코스온,069110,2022,0.0,32000,71948.0,0.0,10608.0,-18252.0,-0.6645161290322581,11.183698914847861,0,0.23511295413395092,-42.17579937908405
