,거래소코드,시가총액
1158,033540,57881.724789
1159,189860,57707.741
1160,001810,57668.1875
1161,050120,57647.3655
1162,277410,57642.36122
1163,279600,57388.56725
1164,040160,57384.3466
1165,089230,57210.64461
1166,122690,57021.77666
1167,383930,56900.45656
1168,096640,56729.621325
1169,007770,56686.5
1170,094840,56547.936
1171,080720,56511.6552
1172,042040,56505.239529
1173,072990,56501.42882
1174,222810,56428.081315
1175,056000,56399.8435
1176,050860,56362.5
1177,365900,56216.207
1178,299170,56152.29081
1179,036170,56088.182164
1180,037030,55930.67898
1181,226360,55876.480012
1182,023770,55669.307
1183,065170,55606.599375
1184,221840,55540.66617
1185,143540,55526.869275
1186,099390,55323.82742
1187,045060,55230.83524
1188,089150,55223.0
1189,267790,55198.5
1190,059210,55122.03081
1191,226400,55111.483515
1192,222980,55102.257585
1193,277070,54973.38
1194,057030,54810.66192
1195,038870,54770.96368
1196,058450,54726.8
1197,187220,54629.75807
1198,037760,54471.00281
1199,040610,54369.07762
1200,181340,54259.50303
1201,238120,54136.54344
1202,005670,54000.0
1203,076610,53925.24524
1204,060540,53834.61036
1205,121850,53546.69775
1206,177830,53297.04869
1207,126640,53287.744455
1208,221980,53259.36
1209,065150,53245.022125
1210,417840,53112.40975
1211,252500,53102.5792
1212,217480,53045.77402
1213,315640,52921.32112
1214,217620,52920.65515
1215,290690,52843.7952
1216,007530,52825.61526
1217,250060,52760.95496
1218,038620,52638.253815
1219,255220,52589.109575
1220,412350,52324.04412
1221,059270,52308.048
1222,085810,52246.95344
1223,223310,52224.83172
1224,090150,52146.76824
1225,153490,51994.8
1226,006050,51993.91207
1227,212560,51974.7558
1228,080010,51800.0
1229,094970,51668.3204
1230,289010,51584.78837
1231,309930,51574.67478
1232,080520,51508.880465
1233,094940,51422.5239
1234,900100,51347.565875
1235,224110,51317.4
1236,297570,51239.40264
1237,305090,51220.78364
1238,331520,51220.14993
1239,051780,51137.62695
1240,021880,51133.961088
1241,068940,51077.896995
1242,317530,51025.56668
1243,131220,50988.7116
1244,226340,50961.32936
1245,246720,50841.8585
1246,900110,50796.1767
1247,048770,50783.000885
1248,169330,50657.80122
1249,017000,50639.23718
1250,066360,50622.33132
1251,175140,50563.9308
1252,069410,50558.20644
1253,215790,50555.351995
1254,020180,50534.023225
1255,419540,50503.10958
1256,010280,50467.622826
1257,080470,50297.0
1258,046310,50241.04146
1259,065650,50158.35285
1260,391060,49980.0
1261,096350,49783.346736
1262,123750,49774.289785
1263,368970,49721.5712
1264,332290,49621.9845
1265,131760,49493.68984
1266,296640,49412.3136
1267,104040,49299.517575
