,회사명,거래소코드,회계년도,설립일,WW지수,WWC변수,부채,MWW지수,MK지수,SA지수,매출액증가율차분
2808,(주)스카이문스테크놀로지,033790,2012,1990,-41.645877370199344,-41.645877370199344,0.0,-41.645877370199344,-41.645877370199344,-2.1637956362479525,-60.997375113783455
2809,(주)스카이문스테크놀로지,033790,2013,1990,-42.56216052233191,-42.56216052233191,0.0,-42.56216052233191,-42.56216052233191,-2.129697259909741,-42.248951263419904
2810,(주)스카이문스테크놀로지,033790,2014,1990,-50.21945683750984,-50.21945683750984,3000.0,-50.43535074107724,-50.21945683750984,-2.0720014840038896,130.33760162895584
2811,(주)스카이문스테크놀로지,033790,2015,1990,-46.9559234468645,-46.9559234468645,3000.0,-47.164194794677655,-46.9559234468645,-2.0266551529675425,10.20462789281105
2812,(주)스카이문스테크놀로지,033790,2016,1990,-42.95832589039515,-42.95832589039515,3000.0,-43.179440589257986,-42.95832589039515,-1.9954939475766462,-43.95308745297011
2813,(주)스카이문스테크놀로지,033790,2017,1990,-46.67517905113841,-46.67517905113841,11131.0,-46.503256084677034,-46.40273593277991,-1.8143584759738838,-8.666191736108557
2814,(주)스카이문스테크놀로지,033790,2018,1990,-47.36461834042361,-47.36461834042361,19661.0,-46.60652385425868,-46.60652385425868,-1.8034113217153758,4.139351535622139
2815,(주)스카이문스테크놀로지,033790,2019,1990,-39.08595491344898,-39.08595491344898,3000.0,-38.85199769419764,-38.85199769419764,-1.8835507107694467,-70.08147351256969
2816,(주)스카이문스테크놀로지,033790,2020,1990,-56.439652368820724,-56.439652368820724,1238.0,-56.338779362185875,-56.338779362185875,-1.8496178024471155,337.840313687794
2817,(주)스카이문스테크놀로지,033790,2021,1990,-41.41876823725303,-41.41876823725303,1353.0,-41.30553745576018,-41.30553745576018,-1.8132371099131268,-65.49859765536753
2818,(주)스코넥엔터테인먼트,276040,2021,2002,-36.04475723024673,-36.04475723024673,1957.0,-35.35850518442022,-35.327954175145805,-2.397881435733818,15.585548852850694
2819,(주)스킨앤스킨,159910,2012,2006,-48.85746579671279,-48.85746579671279,9270.0,-49.081192090689996,-48.75009609537489,-2.722655975744331,20.776809752228946
2820,(주)스킨앤스킨,159910,2013,2006,-44.02837154578463,-44.02837154578463,8000.0,-44.23049861376739,-43.93480140815081,-2.687813223590397,-57.50369086821367
2821,(주)스킨앤스킨,159910,2014,2006,-45.3559493450862,-45.3559493450862,9077.0,-45.1295869441802,-45.02689385244747,-2.6436812781698724,-18.35354170750634
2822,(주)스킨앤스킨,159910,2015,2006,-51.488203020416954,-51.488203020416954,17900.0,-50.991297601268336,-50.936345787621185,-2.5368369891041485,127.62903455713175
2823,(주)스킨앤스킨,159910,2016,2006,-50.194119002112046,-50.194119002112046,12247.0,-49.85153191377535,-49.80441504301088,-2.5074978596471538,72.09432463143285
2824,(주)스킨앤스킨,159910,2017,2006,-45.14207892490728,-45.14207892490728,13542.0,-44.65025409866706,-44.612990840148356,-2.4994463640976057,-29.73417433334034
2825,(주)스킨앤스킨,159910,2018,2006,-46.91792187179508,-46.91792187179508,9342.0,-46.608109763235575,-46.59236341668026,-2.4324571945004165,-4.968548110611517
2826,(주)스킨앤스킨,159910,2019,2006,-45.39300246711614,-45.39300246711614,7532.0,-45.104465254169476,-45.09573032023769,-2.4137937596100243,-38.95742029004759
2827,(주)스킨앤스킨,159910,2020,2006,-34.377426050500844,-34.377426050500844,2360.0,-34.106769068358965,-34.106769068358965,-2.531255773129573,12.343559558429618
2828,(주)스킨앤스킨,159910,2021,2006,-45.51793812363428,-45.51793812363428,2383.0,-45.436341398509015,-45.42116825964001,-2.361395066006686,-9.547692354960075
2829,(주)스타플렉스,115570,2012,1996,-61.18977604898613,-2395127.389776049,70582.0,-60.540137279279236,-60.49261766030435,-1.9508830816389895,24.986851543461317
2830,(주)스타플렉스,115570,2013,1996,-57.824037127566186,-6578884.024037126,68458.0,-57.375138445990395,-57.083694925790574,-2.0167983815284596,-53.028364925674964
2831,(주)스타플렉스,115570,2014,1996,-51.53092058726659,-51.53092058726659,65846.0,-51.001349410857074,-50.75336893115612,-1.985996064360959,-10.103820519819234
2832,(주)스타플렉스,115570,2015,1996,-52.90599191854275,-52.90599191854275,55264.0,-52.248312849164044,-52.136253066927,-1.9527164808464599,-4.771424068395422
2833,(주)스타플렉스,115570,2016,1996,-57.07986472902162,-3154238.8798647295,48434.0,-56.38509284699098,-56.34331075666208,-1.914683079438683,-1.8659150617503852
2834,(주)스타플렉스,115570,2017,1996,-58.13638041842658,-1340485.736380418,67930.0,-57.37116235665993,-57.253816948503825,-1.8501165874233338,2.189226758893632
2835,(주)스타플렉스,115570,2018,1996,-58.288579303281004,-3154240.088579304,62373.0,-57.57931479775561,-57.461843289786486,-1.8180332698967865,7.499487628767816
2836,(주)스타플렉스,115570,2019,1996,-56.89598950236504,-3154238.6959895026,57680.0,-56.60420963980505,-56.30827812636014,-1.781382312428267,-9.878331099717442
2837,(주)스타플렉스,115570,2020,1996,-50.29029372332349,-50.29029372332349,56803.0,-49.57648661270506,-49.46111880844503,-1.7640639915869087,-29.550460326960593
2838,(주)스타플렉스,115570,2021,1996,-51.77329287356339,-51.77329287356339,33917.0,-51.181697637841275,-51.181697637841275,-1.7370225128588643,23.644106540984865
2839,(주)스튜디오미르,408900,2020,2010,-44.623989436025745,-44.623989436025745,3976.0,-44.38667362981351,-44.284044561648564,-2.6880191325928595,25.52177233184714
2840,(주)스튜디오미르,408900,2021,2010,-39.46270379256495,-39.46270379256495,922.0,-39.369428910591736,-39.369428910591736,-2.637144224388703,-38.49003609802602
