,회사명,거래소코드,회계년도,내수변화,수출변화,생산변화
138162,알서포트(주),131370,2019/12,+,+,+
138188,알서포트(주),131370,2020/12,+,+,+
138212,알서포트(주),131370,2021/12,+,+,+
138222,알에스오토메이션(주),140670,2017/12,0,0,0
138231,알에스오토메이션(주),140670,2018/12,+,-,+
138233,알에스오토메이션(주),140670,2019/12,-,-,-
138239,알에스오토메이션(주),140670,2020/12,+,-,+
138247,알에스오토메이션(주),140670,2021/12,+,+,+
138252,알에프머트리얼즈(주),327260,2019/12,0,0,0
138258,알에프머트리얼즈(주),327260,2020/12,0,0,0
138269,알에프머트리얼즈(주),327260,2021/12,0,0,0
138275,알에프에이치아이씨(주),218410,2017/12,0,0,0
138284,알에프에이치아이씨(주),218410,2018/12,-,-,-
138286,알에프에이치아이씨(주),218410,2019/12,0,0,0
138293,알에프에이치아이씨(주),218410,2020/12,0,0,0
138299,알에프에이치아이씨(주),218410,2021/12,0,0,0
138305,압타바이오(주),293780,2019/12,0,0,0
138308,압타바이오(주),293780,2020/12,-,0,-
138310,압타바이오(주),293780,2021/12,-,0,-
138322,애니젠(주),196300,2016/12,0,0,0
138334,애니젠(주),196300,2017/12,-,+,+
138348,애니젠(주),196300,2018/12,+,-,-
138356,애니젠(주),196300,2019/12,+,+,+
138369,애니젠(주),196300,2020/12,+,-,+
138384,애니젠(주),196300,2021/12,+,+,+
138403,앱클론(주),174900,2017/12,0,0,0
138408,앱클론(주),174900,2018/12,+,-,+
138410,앱클론(주),174900,2019/12,-,+,+
138415,앱클론(주),174900,2020/12,-,-,-
138417,앱클론(주),174900,2021/12,+,-,+
138424,어보브반도체(주),102120,2011/12,0,0,0
138467,어보브반도체(주),102120,2012/12,-,+,+
138501,어보브반도체(주),102120,2013/12,+,+,+
138541,어보브반도체(주),102120,2014/12,+,+,+
138593,어보브반도체(주),102120,2015/12,-,+,+
138595,어보브반도체(주),102120,2016/12,-,+,+
138598,어보브반도체(주),102120,2017/12,+,-,+
138602,어보브반도체(주),102120,2018/12,+,-,+
138606,어보브반도체(주),102120,2019/12,+,+,+
138609,어보브반도체(주),102120,2020/12,+,+,+
138615,어보브반도체(주),102120,2021/12,+,-,+
138618,어울림네트웍스(주),42820,2011/12,0,0,0
138620,어울림엘시스(주),33280,2011/12,0,0,0
138627,어울림정보기술(주),38320,2011/12,0,0,0
138713,에버테크노(주),70480,2011/12,0,0,0
138719,에버테크노(주),70480,2012/12,-,-,-
138728,에버테크노(주),70480,2013/12,+,-,-
138738,에브리봇(주),270660,2017/12,0,0,0
138740,에브리봇(주),270660,2018/12,-,-,-
138742,에브리봇(주),270660,2019/12,+,+,+
138747,에브리봇(주),270660,2020/12,+,+,+
138750,에브리봇(주),270660,2021/12,-,+,+
138812,에스넷시스템(주),38680,2011/12,0,0,0
138885,에스넷시스템(주),38680,2012/12,-,+,-
138914,에스넷시스템(주),38680,2013/12,+,+,+
138963,에스넷시스템(주),38680,2014/12,-,-,-
139007,에스넷시스템(주),38680,2015/12,+,+,+
139051,에스넷시스템(주),38680,2016/12,+,+,+
139083,에스넷시스템(주),38680,2017/12,+,-,-
139093,에스넷시스템(주),38680,2020/12,-,-,-
139095,에스넷시스템(주),38680,2021/12,0,0,0
139100,에스디엔(주),99220,2011/12,0,0,0
139103,에스디엔(주),99220,2012/12,-,0,-
139107,에스디엔(주),99220,2013/12,-,0,-
139132,에스디엔(주),99220,2014/12,0,0,0
139137,에스디엔(주),99220,2015/12,0,0,0
139146,에스디엔(주),99220,2016/12,0,0,0
139147,에스디엔(주),99220,2017/12,0,0,0
139152,에스디엔(주),99220,2018/12,0,0,0
139159,에스디엔(주),99220,2019/12,0,0,0
139166,에스디엔(주),99220,2020/12,0,0,0
139167,에스디엔(주),99220,2021/12,0,0,0
139173,에스맥(주),97780,2011/12,0,0,0
139177,에스맥(주),97780,2012/12,-,+,+
139180,에스맥(주),97780,2013/12,-,+,+
139184,에스맥(주),97780,2014/12,-,-,-
139186,에스맥(주),97780,2015/12,-,-,-
139190,에스맥(주),97780,2016/12,-,-,-
139192,에스맥(주),97780,2017/12,+,+,+
139196,에스맥(주),97780,2018/12,+,-,-
139199,에스맥(주),97780,2019/12,+,+,+
139204,에스맥(주),97780,2020/12,+,+,+
139205,에스맥(주),97780,2021/12,+,-,-
139212,에스비더블유생명과학(주),151910,2012/12,0,0,0
139217,에스비더블유생명과학(주),151910,2013/12,-,+,+
139221,에스비더블유생명과학(주),151910,2014/12,+,-,-
139225,에스비더블유생명과학(주),151910,2015/12,-,-,-
139226,에스비더블유생명과학(주),151910,2016/12,-,-,-
139229,에스비더블유생명과학(주),151910,2017/12,0,0,0
139232,에스비더블유생명과학(주),151910,2018/12,0,0,0
139237,에스비더블유생명과학(주),151910,2019/12,0,0,0
139239,에스비더블유생명과학(주),151910,2020/12,0,0,0
139241,에스비더블유생명과학(주),151910,2021/12,0,0,0
139250,에스씨아이평가정보(주),36120,2011/12,0,0,0
139255,에스씨아이평가정보(주),36120,2012/12,-,0,-
139262,에스씨아이평가정보(주),36120,2013/12,+,0,+
139266,에스씨아이평가정보(주),36120,2014/12,-,0,-
139274,에스씨아이평가정보(주),36120,2015/12,-,0,-
139285,에스씨아이평가정보(주),36120,2016/12,-,0,-
139294,에스씨아이평가정보(주),36120,2018/12,+,0,+
139298,에스씨아이평가정보(주),36120,2019/12,-,0,-
139307,에스씨아이평가정보(주),36120,2020/12,0,0,0
139311,에스씨아이평가정보(주),36120,2021/12,+,0,+
139325,에스씨엠생명과학(주),298060,2020/12,0,0,0
139326,에스씨엠생명과학(주),298060,2021/12,+,0,+
139339,에스에스씨피(주),71660,2011/12,0,0,0
139345,에스엔유프리시젼(주),80000,2011/12,0,0,0
139346,에스엔유프리시젼(주),80000,2012/12,-,-,-
139349,에스엔유프리시젼(주),80000,2013/12,-,+,+
139350,에스엔유프리시젼(주),80000,2014/12,-,-,-
139352,에스엔유프리시젼(주),80000,2015/12,+,-,-
139354,에스엔유프리시젼(주),80000,2016/12,-,-,-
139356,에스엔유프리시젼(주),80000,2017/12,+,+,+
139358,에스엔유프리시젼(주),80000,2018/12,-,-,-
139361,에스엔유프리시젼(주),80000,2019/12,+,-,-
139363,에스엔유프리시젼(주),80000,2020/12,+,+,+
139364,에스엔유프리시젼(주),80000,2021/12,+,-,+
139367,에스엔케이폴리텍(주),91340,2011/12,0,0,0
139369,에스엔케이폴리텍(주),91340,2012/12,-,-,-
139371,에스엔케이폴리텍(주),91340,2013/12,+,-,-
139372,에스엔케이폴리텍(주),91340,2014/12,+,+,+
139375,에스엔케이폴리텍(주),91340,2015/12,+,-,+
139376,에스엔케이폴리텍(주),91340,2016/12,-,+,+
139379,에스엔케이폴리텍(주),91340,2017/12,-,-,-
139381,에스엔케이폴리텍(주),91340,2018/12,-,-,-
139384,에스엔케이폴리텍(주),91340,2019/12,+,+,+
139393,에스엔케이폴리텍(주),91340,2020/12,-,-,-
139411,에스엔케이폴리텍(주),91340,2021/12,+,+,+
139429,에스와이(주),109610,2015/12,0,0,0
139433,에스와이(주),109610,2016/12,+,-,+
139437,에스와이(주),109610,2017/12,+,+,+
139450,에스와이(주),109610,2018/12,+,-,+
139452,에스와이(주),109610,2019/12,-,+,-
139463,에스와이(주),109610,2020/12,-,-,-
139472,에스와이(주),109610,2021/12,+,+,+
139476,에스지씨이테크건설(주),16250,2011/12,0,0,0
139487,에스지씨이테크건설(주),16250,2012/12,+,+,+
139497,에스지씨이테크건설(주),16250,2013/12,+,-,-
139498,에스지씨이테크건설(주),16250,2014/12,+,+,+
139506,에스지씨이테크건설(주),16250,2015/12,-,-,-
139512,에스지씨이테크건설(주),16250,2016/12,+,+,+
139521,에스지씨이테크건설(주),16250,2017/12,+,+,+
139523,에스지씨이테크건설(주),16250,2018/12,+,+,+
139530,에스지씨이테크건설(주),16250,2019/12,+,-,+
139536,에스지씨이테크건설(주),16250,2020/12,-,-,-
139569,에스지씨이테크건설(주),16250,2021/12,+,+,+
139573,에스지에이(주),49470,2011/12,0,0,0
139574,에스지에이(주),49470,2012/12,-,0,-
139578,에스지에이(주),49470,2013/12,+,0,+
139585,에스지에이(주),49470,2014/12,+,0,+
139590,에스지에이(주),49470,2015/12,+,0,+
139594,에스지에이(주),49470,2016/12,+,+,+
139599,에스지에이(주),49470,2017/12,-,-,-
139601,에스지에이(주),49470,2018/12,-,0,-
139607,에스지에이(주),49470,2019/12,-,0,-
139609,에스지에이(주),49470,2020/12,-,0,-
139612,에스지에이(주),49470,2021/12,-,0,-
139619,에스지에이솔루션즈(주),184230,2015/06,0,0,0
139623,에스지에이솔루션즈(주),184230,2016/12,+,0,+
139624,에스지에이솔루션즈(주),184230,2017/12,+,0,+
139632,에스지에이솔루션즈(주),184230,2018/12,-,0,-
139635,에스지에이솔루션즈(주),184230,2019/12,-,+,-
139641,에스지에이솔루션즈(주),184230,2020/12,-,+,-
139645,에스지에이솔루션즈(주),184230,2021/12,-,-,-
139651,에스지에이시스템즈(주),232290,2016/12,0,0,0
139657,에스지에이클라우드서비스(주),224880,2017/12,0,0,0
139671,에스지에이클라우드서비스(주),224880,2018/12,-,0,-
139679,에스지에이클라우드서비스(주),224880,2019/12,-,0,-
139707,에스지에이클라우드서비스(주),224880,2020/12,-,0,-
139718,에스지이(주),255220,2017/12,0,0,0
139721,에스지이(주),255220,2018/12,+,0,+
139727,에스지이(주),255220,2019/12,-,0,-
139731,에스지이(주),255220,2020/12,-,0,-
139740,에스지이(주),255220,2021/12,-,0,-
139742,에스케이 머티리얼즈(주),36490,2011/12,0,0,0
139746,에스케이 머티리얼즈(주),36490,2012/12,+,-,-
139749,에스케이 머티리얼즈(주),36490,2013/12,+,-,-
139751,에스케이 머티리얼즈(주),36490,2014/12,+,-,+
139753,에스케이 머티리얼즈(주),36490,2015/12,-,-,-
139754,에스케이 머티리얼즈(주),36490,2016/12,+,+,+
139757,에스케이 머티리얼즈(주),36490,2017/12,+,+,+
139758,에스케이 머티리얼즈(주),36490,2018/12,+,-,+
139760,에스케이 머티리얼즈(주),36490,2019/12,+,+,+
139762,에스케이 머티리얼즈(주),36490,2020/12,+,+,+
139768,에스케이브로드밴드(주),33630,2011/12,0,0,0
139772,에스케이브로드밴드(주),33630,2012/12,+,0,+
139776,에스케이브로드밴드(주),33630,2013/12,+,0,+
139785,에스케이브로드밴드(주),33630,2014/12,+,0,+
139789,에스케이씨솔믹스(주),57500,2011/12,0,0,0
139794,에스케이씨솔믹스(주),57500,2012/12,+,-,+
139800,에스케이씨솔믹스(주),57500,2013/12,+,-,+
139807,에스케이씨솔믹스(주),57500,2014/12,-,+,+
139818,에스케이씨솔믹스(주),57500,2015/12,+,-,-
139825,에스케이씨솔믹스(주),57500,2016/12,-,-,-
139828,에스케이씨솔믹스(주),57500,2017/12,+,+,+
139834,에스케이씨솔믹스(주),57500,2018/12,+,+,+
139839,에스케이씨솔믹스(주),57500,2019/12,-,+,-
139851,에스케이오션플랜트(주),100090,2011/12,0,0,0
139852,에스케이오션플랜트(주),25440,2011/12,0,0,0
139896,에스케이오션플랜트(주),100090,2012/12,+,+,+
139899,에스케이오션플랜트(주),25440,2012/12,+,-,+
139902,에스케이오션플랜트(주),25440,2013/12,-,0,-
139906,에스케이오션플랜트(주),100090,2013/12,-,-,-
139907,에스케이오션플랜트(주),25440,2014/12,0,0,0
139911,에스케이오션플랜트(주),100090,2014/12,+,+,+
139915,에스케이오션플랜트(주),25440,2015/12,0,0,0
139918,에스케이오션플랜트(주),100090,2015/12,+,-,+
139922,에스케이오션플랜트(주),100090,2016/12,-,+,-
139923,에스케이오션플랜트(주),25440,2016/12,0,0,0
139931,에스케이오션플랜트(주),25440,2017/12,0,0,0
139933,에스케이오션플랜트(주),100090,2017/12,-,-,-
139949,에스케이오션플랜트(주),100090,2018/12,+,-,+
139951,에스케이오션플랜트(주),25440,2018/12,0,0,0
139957,에스케이오션플랜트(주),100090,2019/12,+,+,+
139958,에스케이오션플랜트(주),25440,2019/12,0,0,0
139962,에스케이오션플랜트(주),25440,2020/12,0,0,0
139965,에스케이오션플랜트(주),100090,2020/12,-,+,+
139974,에스케이오션플랜트(주),25440,2021/12,0,0,0
139975,에스케이오션플랜트(주),100090,2021/12,-,+,+
139980,에스케이커뮤니케이션즈(주),66270,2011/12,0,0,0
139983,에스케이커뮤니케이션즈(주),66270,2012/12,-,0,-
139988,에스케이커뮤니케이션즈(주),66270,2013/12,-,0,-
139991,에스케이커뮤니케이션즈(주),66270,2014/12,-,0,-
139993,에스케이커뮤니케이션즈(주),66270,2015/12,-,0,-
140000,에스텍(주),69510,2011/12,0,0,0
140005,에스텍(주),69510,2012/12,+,-,-
140010,에스텍(주),69510,2013/12,+,-,+
140014,에스텍(주),69510,2014/12,-,+,+
140019,에스텍(주),69510,2015/12,+,-,-
140024,에스텍(주),69510,2016/12,-,+,+
140028,에스텍(주),69510,2017/12,-,+,+
140031,에스텍(주),69510,2018/12,+,-,+
140039,에스텍(주),69510,2019/12,-,+,+
140041,에스텍(주),69510,2020/12,-,-,-
140046,에스텍(주),69510,2021/12,+,+,+
140065,에스트래픽(주),234300,2017/12,0,0,0
140076,에스트래픽(주),234300,2018/12,0,0,0
140096,에스트래픽(주),234300,2019/12,0,0,0
140103,에스트래픽(주),234300,2020/12,0,0,0
140814,에스트래픽(주),234300,2021/12,0,0,0
140859,에스티팜(주),237690,2016/12,0,0,0
140867,에스티팜(주),237690,2017/12,-,+,+
140871,에스티팜(주),237690,2018/12,-,-,-
140880,에스티팜(주),237690,2019/12,+,-,-
140882,에스티팜(주),237690,2020/12,-,+,+
140891,에스티팜(주),237690,2021/12,-,+,+
140895,에스퓨얼셀(주),288620,2018/12,0,0,0
140899,에스퓨얼셀(주),288620,2019/12,+,+,+
140903,에스퓨얼셀(주),288620,2020/12,+,+,+
140910,에스퓨얼셀(주),288620,2021/12,+,-,+
140916,에이디엠코리아(주),187660,2021/12,0,0,0
140919,에이비엘바이오(주),298380,2018/12,0,0,0
140921,에이비엘바이오(주),298380,2019/12,+,+,+
140923,에이비엘바이오(주),298380,2020/12,-,+,+
140926,에이비엘바이오(주),298380,2021/12,+,-,-
140930,에이비온(주),203400,2014/12,0,0,0
140938,에이비온(주),203400,2015/12,+,0,+
140941,에이비온(주),203400,2016/12,-,0,-
140944,에이비온(주),203400,2017/12,-,0,-
140953,에이비온(주),203400,2018/12,-,0,-
140957,에이비온(주),203400,2019/12,+,0,+
140992,에이비온(주),203400,2020/12,+,0,+
141007,에이비온(주),203400,2021/12,-,0,-
141013,에이스하이텍(주),71930,2011/12,0,0,0
141033,에이스하이텍(주),71930,2012/12,+,-,+
141064,에이스하이텍(주),71930,2013/12,+,-,+
141070,에이스하이텍(주),71930,2014/12,-,-,-
141076,에이아이비트(주),39230,2011/12,0,0,0
141079,에이아이비트(주),39230,2012/12,-,-,-
141083,에이아이비트(주),39230,2013/12,-,+,-
141091,에이아이비트(주),39230,2014/12,+,+,+
141093,에이아이비트(주),39230,2015/12,-,+,-
141131,에이아이비트(주),39230,2016/12,-,-,-
141137,에이아이비트(주),39230,2017/12,+,+,+
141144,에이아이비트(주),39230,2018/12,-,-,-
141153,에이아이비트(주),39230,2019/12,-,+,-
141159,에이아이비트(주),39230,2020/12,-,-,-
141167,에이에프더블류(주),312610,2019/12,0,0,0
141171,에이에프더블류(주),312610,2020/12,-,-,-
141175,에이에프더블류(주),312610,2021/12,+,-,-
141223,에이치비솔루션(주),297890,2020/12,0,0,0
141232,에이치비솔루션(주),297890,2021/12,+,+,+
141236,에이치엘비(주),28300,2011/12,0,0,0
141240,에이치엘비(주),28300,2012/12,-,+,-
141256,에이치엘비(주),28300,2013/12,-,-,-
141260,에이치엘비(주),28300,2014/12,-,+,+
141263,에이치엘비(주),28300,2015/12,-,+,+
141266,에이치엘비(주),28300,2016/12,-,-,-
141267,에이치엘비(주),28300,2017/12,-,-,-
141273,에이치엘비(주),28300,2018/12,+,-,+
141279,에이치엘비(주),28300,2019/12,-,+,+
141284,에이치엘비(주),28300,2020/12,+,-,+
141288,에이치엘비(주),28300,2021/12,+,-,+
141295,에이치엘비생명과학(주),67630,2011/12,0,0,0
141311,에이치엘비생명과학(주),67630,2012/12,-,0,-
141324,에이치엘비생명과학(주),67630,2013/12,-,0,-
141340,에이치엘비생명과학(주),67630,2014/12,0,0,0
141383,에이치엘비생명과학(주),67630,2015/12,0,0,0
141421,에이치엘비생명과학(주),67630,2016/12,0,0,0
141483,에이치엘비생명과학(주),67630,2017/12,0,0,0
141547,에이치엘비생명과학(주),67630,2018/12,0,0,0
141558,에이치엘비생명과학(주),67630,2019/12,0,0,0
141570,에이치엘비생명과학(주),67630,2020/12,0,0,0
141589,에이치엘비생명과학(주),67630,2021/12,0,0,0
141602,에이치엘비제약(주),47920,2015/12,0,0,0
141611,에이치엘비제약(주),47920,2016/12,+,0,+
141612,에이치엘비제약(주),47920,2017/12,-,0,-
141700,에이치엘비제약(주),47920,2018/12,+,0,+
141705,에이치엘비제약(주),47920,2019/12,-,0,-
141712,에이치엘비제약(주),47920,2020/12,0,0,0
141722,에이치엘비제약(주),47920,2021/12,0,0,0
141733,에이치엘비테라퓨틱스(주),115450,2011/12,0,0,0
141738,에이치엘비테라퓨틱스(주),115450,2012/12,-,-,-
141758,에이치엘비테라퓨틱스(주),115450,2013/12,+,+,+
141771,에이치엘비테라퓨틱스(주),115450,2014/12,+,-,-
141778,에이치엘비테라퓨틱스(주),115450,2015/12,-,-,-
141785,에이치엘비테라퓨틱스(주),115450,2016/12,+,-,+
141793,에이치엘비테라퓨틱스(주),115450,2017/12,+,-,+
141798,에이치엘비테라퓨틱스(주),115450,2018/12,+,-,+
141812,에이치엘비테라퓨틱스(주),115450,2019/12,+,+,+
141814,에이치엘비테라퓨틱스(주),115450,2020/12,-,-,-
141823,에이치엘비테라퓨틱스(주),115450,2021/12,+,-,+
141838,에이치케이이노엔(주),195940,2021/12,0,0,0
141850,에이테크솔루션(주),71670,2011/12,0,0,0
141853,에이테크솔루션(주),71670,2012/12,-,+,+
141859,에이테크솔루션(주),71670,2013/12,-,+,+
141861,에이테크솔루션(주),71670,2014/12,+,+,+
141868,에이테크솔루션(주),71670,2015/12,-,-,-
141870,에이테크솔루션(주),71670,2016/12,+,+,+
141875,에이테크솔루션(주),71670,2017/12,-,-,-
141880,에이테크솔루션(주),71670,2018/12,+,-,-
141883,에이테크솔루션(주),71670,2019/12,+,+,+
141886,에이테크솔루션(주),71670,2020/12,+,-,+
141891,에이테크솔루션(주),71670,2021/12,+,+,+
141896,에이피시스템(주),265520,2017/12,0,0,0
141897,에이피시스템(주),265520,2018/12,-,+,-
141899,에이피시스템(주),265520,2019/12,+,-,-
141901,에이피시스템(주),265520,2020/12,-,+,+
141903,에이피시스템(주),265520,2021/12,+,-,-
141905,에이피에스홀딩스(주),54620,2011/12,0,0,0
141908,에이피에스홀딩스(주),54620,2012/12,-,+,-
141911,에이피에스홀딩스(주),54620,2013/12,+,+,+
141914,에이피에스홀딩스(주),54620,2014/12,-,-,-
141920,에이피에스홀딩스(주),54620,2015/12,+,+,+
141927,에이피에스홀딩스(주),54620,2016/12,+,+,+
141932,에이피에스홀딩스(주),54620,2017/12,-,-,-
141936,에이피에스홀딩스(주),54620,2018/12,0,0,0
141962,에이피에스홀딩스(주),54620,2019/12,0,0,0
141972,에이피에스홀딩스(주),54620,2020/12,0,0,0
141991,에이피에스홀딩스(주),54620,2021/12,0,0,0
141997,에이피위성(주),211270,2015/12,0,0,0
142008,에이피위성(주),211270,2016/12,+,+,+
142013,에이피위성(주),211270,2017/12,+,-,+
142016,에이피위성(주),211270,2018/12,+,-,+
142025,에이피위성(주),211270,2019/12,-,+,+
142030,에이피위성(주),211270,2020/12,-,+,-
142033,에이피위성(주),211270,2021/12,+,-,-
142042,에이피티씨(주),89970,2018/12,0,0,0
142057,에이피티씨(주),89970,2019/12,0,0,0
142068,에이피티씨(주),89970,2020/12,+,+,+
142077,에이피티씨(주),89970,2021/12,+,-,+
142080,에코바이오홀딩스(주),38870,2011/12,0,0,0
142085,에코바이오홀딩스(주),38870,2012/12,+,0,+
142088,에코바이오홀딩스(주),38870,2013/12,-,0,-
142092,에코바이오홀딩스(주),38870,2014/12,0,0,0
142098,에코바이오홀딩스(주),38870,2015/12,0,0,0
142102,에코바이오홀딩스(주),38870,2016/12,+,0,+
142105,에코바이오홀딩스(주),38870,2017/12,-,0,-
142107,에코바이오홀딩스(주),38870,2018/12,0,0,0
142113,에코바이오홀딩스(주),38870,2019/12,0,0,0
142115,에코바이오홀딩스(주),38870,2020/12,0,0,0
142125,에코바이오홀딩스(주),38870,2021/12,0,0,0
142129,에코캡(주),128540,2018/12,0,0,0
142137,에코캡(주),128540,2019/12,-,+,-
142143,에코캡(주),128540,2020/12,-,+,-
142150,에코캡(주),128540,2021/12,+,+,+
142224,에코플라스틱(주),38110,2011/12,0,0,0
142320,에코플라스틱(주),38110,2012/12,+,+,+
142404,에코플라스틱(주),38110,2013/12,-,+,+
142499,에코플라스틱(주),38110,2014/12,+,+,+
142588,에코플라스틱(주),38110,2015/12,+,+,+
142681,에코플라스틱(주),38110,2016/12,+,-,-
142767,에코플라스틱(주),38110,2017/12,-,-,-
142859,에코플라스틱(주),38110,2018/12,+,-,+
142955,에코플라스틱(주),38110,2019/12,+,+,+
143035,에코플라스틱(주),38110,2020/12,+,-,+
143127,에코플라스틱(주),38110,2021/12,+,+,+
143147,에프엔에스테크(주),83500,2016/12,0,0,0
143151,에프엔에스테크(주),83500,2017/12,+,-,+
143156,에프엔에스테크(주),83500,2018/12,-,+,-
143160,에프엔에스테크(주),83500,2019/12,+,-,-
143164,에프엔에스테크(주),83500,2020/12,+,-,+
143166,에프엔에스테크(주),83500,2021/12,-,+,-
143174,엑스큐어(주),70300,2011/12,0,0,0
143179,엑스큐어(주),70300,2012/12,-,+,-
143187,엑스큐어(주),70300,2013/12,+,-,+
143192,엑스큐어(주),70300,2014/12,-,+,-
143199,엑스큐어(주),70300,2015/12,+,+,+
143202,엑스큐어(주),70300,2016/12,+,-,-
143205,엑스큐어(주),70300,2017/12,-,+,-
143213,엑스큐어(주),70300,2018/12,-,-,-
143215,엑스큐어(주),70300,2019/12,+,-,-
143222,엑스큐어(주),70300,2020/12,-,-,-
143225,엑스큐어(주),70300,2021/12,+,+,+
143236,엔브이에이치코리아(주),67570,2013/12,0,0,0
143241,엔브이에이치코리아(주),67570,2014/12,+,0,+
143245,엔브이에이치코리아(주),67570,2015/12,-,0,-
143250,엔브이에이치코리아(주),67570,2016/12,-,0,-
143257,엔브이에이치코리아(주),67570,2017/12,0,0,0
143267,엔브이에이치코리아(주),67570,2018/12,0,0,0
143277,엔브이에이치코리아(주),67570,2019/12,+,+,+
143283,엔브이에이치코리아(주),67570,2020/12,+,+,+
143293,엔브이에이치코리아(주),67570,2021/12,+,-,+
143303,엔시트론(주),101400,2011/12,0,0,0
143306,엔시트론(주),101400,2012/12,+,+,+
143313,엔시트론(주),101400,2013/12,-,-,-
143316,엔시트론(주),101400,2014/12,+,+,+
143320,엔시트론(주),101400,2015/12,+,-,-
143326,엔시트론(주),101400,2016/12,+,-,-
143333,엔시트론(주),101400,2017/12,-,-,-
143345,엔시트론(주),101400,2018/12,+,-,-
143357,엔시트론(주),101400,2019/12,-,-,-
143366,엔시트론(주),101400,2020/12,+,-,-
143387,엔시트론(주),101400,2021/12,+,+,+
143389,엔에이치엔한국사이버결제(주),60250,2011/12,0,0,0
143393,엔에이치엔한국사이버결제(주),60250,2012/12,+,0,+
143402,엔에이치엔한국사이버결제(주),60250,2013/12,+,0,+
143405,엔에이치엔한국사이버결제(주),60250,2014/12,+,0,+
143410,엔에이치엔한국사이버결제(주),60250,2015/12,-,0,-
143413,엔에이치엔한국사이버결제(주),60250,2016/12,+,0,+
143420,엔에이치엔한국사이버결제(주),60250,2017/12,+,0,+
143423,엔에이치엔한국사이버결제(주),60250,2018/12,+,0,+
143431,엔에이치엔한국사이버결제(주),60250,2019/12,+,0,+
143434,엔에이치엔한국사이버결제(주),60250,2020/12,-,0,-
143439,엔에이치엔한국사이버결제(주),60250,2021/12,0,0,0
143444,엘비세미콘(주),61970,2011/12,0,0,0
143449,엘비세미콘(주),61970,2012/12,+,+,+
143450,엘비세미콘(주),61970,2013/12,-,+,-
143452,엘비세미콘(주),61970,2014/12,-,-,-
143455,엘비세미콘(주),61970,2015/12,+,+,+
143460,엘비세미콘(주),61970,2016/12,+,+,+
143462,엘비세미콘(주),61970,2017/12,+,-,-
143465,엘비세미콘(주),61970,2018/12,+,+,+
143470,엘비세미콘(주),61970,2019/12,+,+,+
143476,엘비세미콘(주),61970,2020/12,+,-,+
143479,엘비세미콘(주),61970,2021/12,+,+,+
143486,엘컴텍(주),37950,2011/12,0,0,0
143492,엘컴텍(주),37950,2012/12,-,-,-
143500,엘컴텍(주),37950,2013/12,-,-,-
143511,엘컴텍(주),37950,2014/12,+,-,-
143513,엘컴텍(주),37950,2015/12,-,+,+
143521,엘컴텍(주),37950,2016/12,+,+,+
143532,엘컴텍(주),37950,2017/12,+,-,-
143536,엘컴텍(주),37950,2018/12,+,-,-
143544,엘컴텍(주),37950,2019/12,-,+,+
143548,엘컴텍(주),37950,2020/12,-,-,-
143560,엘컴텍(주),37950,2021/12,-,+,+
143564,엘티씨(주),170920,2013/12,0,0,0
143570,엘티씨(주),170920,2014/12,+,-,-
143572,엘티씨(주),170920,2015/12,+,-,-
143577,엘티씨(주),170920,2016/12,-,-,-
143581,엘티씨(주),170920,2017/12,+,-,-
143585,엘티씨(주),170920,2018/12,+,+,+
143592,엘티씨(주),170920,2019/12,-,-,-
143593,엘티씨(주),170920,2020/12,+,-,+
143600,엘티씨(주),170920,2021/12,+,-,-
143609,엠에프엠코리아(주),251960,2017/12,0,0,0
143613,엠에프엠코리아(주),251960,2018/12,0,+,+
143616,엠에프엠코리아(주),251960,2019/12,+,-,+
143618,엠에프엠코리아(주),323230,2020/12,0,0,0
143627,엠에프엠코리아(주),323230,2021/12,+,+,+
143634,엠케이전자(주),33160,2011/12,0,0,0
143640,엠케이전자(주),33160,2012/12,+,-,+
143645,엠케이전자(주),33160,2013/12,-,-,-
143650,엠케이전자(주),33160,2014/12,-,-,-
143657,엠케이전자(주),33160,2015/12,-,-,-
143661,엠케이전자(주),33160,2016/12,-,+,+
143664,엠케이전자(주),33160,2017/12,+,-,-
143668,엠케이전자(주),33160,2018/12,+,-,+
143683,엠케이전자(주),33160,2019/12,+,+,+
143689,엠케이전자(주),33160,2020/12,+,+,+
143700,엠케이전자(주),33160,2021/12,+,+,+
143710,엠텍비젼(주),74000,2011/12,0,0,0
143724,엠텍비젼(주),74000,2012/12,+,-,-
143728,엠텍비젼(주),74000,2013/12,-,-,-
143737,영신금속공업(주),7530,2011/12,0,0,0
143740,영신금속공업(주),7530,2012/12,-,+,+
143744,영신금속공업(주),7530,2013/12,-,+,-
143747,영신금속공업(주),7530,2014/12,+,-,-
143750,영신금속공업(주),7530,2015/12,+,-,+
143752,영신금속공업(주),7530,2016/12,+,-,+
143756,영신금속공업(주),7530,2017/12,+,-,+
143759,영신금속공업(주),7530,2018/12,-,-,-
143761,영신금속공업(주),7530,2019/12,+,-,+
143765,영신금속공업(주),7530,2020/12,+,-,-
143769,영신금속공업(주),7530,2021/12,+,-,+
143791,영풍정밀(주),36560,2011/12,0,0,0
143798,영풍정밀(주),36560,2012/12,-,+,+
143806,영풍정밀(주),36560,2013/12,-,+,-
143809,영풍정밀(주),36560,2014/12,-,-,-
143812,영풍정밀(주),36560,2015/12,-,+,-
143818,영풍정밀(주),36560,2016/12,-,-,-
143821,영풍정밀(주),36560,2017/12,+,-,+
