회사명,거래소코드,회계년도,합계_기말인원(명),합계_년간총급여(천원),설립일,외국인_주식분포비율,보통주식비율
(주)나노브릭,286750,2015/12,,,2007/05/15,,
(주)나노브릭,286750,2016/12,,,2007/05/15,,
(주)나노브릭,286750,2017/12,,,2007/05/15,,
(주)나노브릭,286750,2018/12,,,2007/05/15,,
(주)나노브릭,286750,2019/12,58,2231578,2007/05/15,0,20.15
(주)나노브릭,286750,2020/12,53,2082445,2007/05/15,2.31,20.93
(주)나노브릭,286750,2021/12,62,2307424,2007/05/15,0,20.52
(주)나노신소재,121600,2011/12,134,4102308,2000/03/15,0.55,44.79
(주)나노신소재,121600,2012/12,133,4123639,2000/03/15,1.55,43.9
(주)나노신소재,121600,2013/12,134,4124210,2000/03/15,1.37,42.77
(주)나노신소재,121600,2014/12,151,4833147,2000/03/15,1.03,42.6
(주)나노신소재,121600,2015/12,166,6161300,2000/03/15,2.52,36.97
(주)나노신소재,121600,2016/12,178,7668000,2000/03/15,2,36.6
(주)나노신소재,121600,2017/12,192,7676000,2000/03/15,1.73,36.95
(주)나노신소재,121600,2018/12,195,8821000,2000/03/15,2.36,36.38
(주)나노신소재,121600,2019/12,213,9606000,2000/03/15,5.16,35.92
(주)나노신소재,121600,2020/12,217,9259000,2000/03/15,1.23,32.51
(주)나노신소재,121600,2021/12,313,10835000,2000/03/15,1.77,30.79
(주)나노엔텍,039860,2011/12,83,2404000,1987/11/18,0.03,14.64
(주)나노엔텍,039860,2012/12,88,2993000,1987/11/18,0.15,14.64
(주)나노엔텍,039860,2013/12,89,2948000,1987/11/18,0.57,15.03
(주)나노엔텍,039860,2014/12,94,3710000,1987/11/18,0.24,27.67
(주)나노엔텍,039860,2015/12,107,4244000,1987/11/18,0.45,29.77
(주)나노엔텍,039860,2016/12,141,5326000,1987/11/18,0.24,28.48
(주)나노엔텍,039860,2017/12,95,3949000,1987/11/18,0.52,29.6
(주)나노엔텍,039860,2018/12,98,4414000,1987/11/18,0.95,30.01
(주)나노엔텍,039860,2019/12,105,4695000,1987/11/18,1.56,29.7
(주)나노엔텍,039860,2020/12,117,5127000,1987/11/18,0.94,29.5
(주)나노엔텍,039860,2021/12,126,6031000,1987/11/18,0.62,29.5
(주)나노트로닉스,010670,2011/12,39,1363316,1975/06/27,0,17.61
(주)나노트로닉스,010670,2012/12,31,1226635,1975/06/27,0,15.88
(주)나래나노텍,137080,2011/12,,,1995/12/11,,
(주)나래나노텍,137080,2012/12,,,1995/12/11,,
(주)나래나노텍,137080,2013/12,,,1995/12/11,,
(주)나래나노텍,137080,2014/12,,,1995/12/11,,
(주)나래나노텍,137080,2015/12,,,1995/12/11,,
(주)나래나노텍,137080,2016/12,,,1995/12/11,,
(주)나래나노텍,137080,2017/12,,,1995/12/11,,
(주)나래나노텍,137080,2018/12,,,1995/12/11,,
(주)나래나노텍,137080,2019/12,,,1995/12/11,,
(주)나래나노텍,137080,2020/12,,,1995/12/11,,
(주)나래나노텍,137080,2021/12,261,15037591,1995/12/11,,61.53
(주)나무가,190510,2011/12,,,2004/10/14,,
(주)나무가,190510,2012/12,,,2004/10/14,,
(주)나무가,190510,2013/12,,,2004/10/14,,
(주)나무가,190510,2014/12,,,2004/10/14,,
(주)나무가,190510,2015/12,145,5763000,2004/10/14,0.4,57.74
(주)나무가,190510,2016/12,138,10694000,2004/10/14,1.12,39.28
(주)나무가,190510,2017/12,128,6415000,2004/10/14,1.44,28.25
(주)나무가,190510,2018/12,107,5089000,2004/10/14,1.36,28.04
(주)나무가,190510,2019/12,146,6904000,2004/10/14,4.47,25.29
(주)나무가,190510,2020/12,135,6699000,2004/10/14,1.3,36
(주)나무가,190510,2021/12,133,6534000,2004/10/14,2.36,36
(주)나스미디어,089600,2011/12,,,2000/03/13,,
(주)나스미디어,089600,2012/12,,,2000/03/13,,
(주)나스미디어,089600,2013/12,193,8474892,2000/03/13,0.42,73.78
(주)나스미디어,089600,2014/12,212,7795998,2000/03/13,4.17,70.03
(주)나스미디어,089600,2015/12,225,10261829,2000/03/13,1.36,67.38
(주)나스미디어,089600,2016/12,273,12881000,2000/03/13,2.12,68.97
(주)나스미디어,089600,2017/12,320,14523000,2000/03/13,10.87,60.33
(주)나스미디어,089600,2018/12,319,17218000,2000/03/13,15.08,60.1
(주)나스미디어,089600,2019/12,351,18155000,2000/03/13,10.4,59.95
