회사명,거래소코드,회계년도,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류)
(주)농심,004370,2016/12,10,제조업
(주)농심,004370,2017/12,10,제조업
(주)농심,004370,2018/12,10,제조업
(주)농심,004370,2019/12,10,제조업
(주)농심,004370,2020/12,10,제조업
(주)농심,004370,2021/12,10,제조업
(주)농심홀딩스,072710,2011/12,71,"전문, 과학 및 기술 서비스업"
(주)농심홀딩스,072710,2012/12,71,"전문, 과학 및 기술 서비스업"
(주)농심홀딩스,072710,2013/12,71,"전문, 과학 및 기술 서비스업"
(주)농심홀딩스,072710,2014/12,71,"전문, 과학 및 기술 서비스업"
(주)농심홀딩스,072710,2015/12,71,"전문, 과학 및 기술 서비스업"
(주)농심홀딩스,072710,2016/12,71,"전문, 과학 및 기술 서비스업"
(주)농심홀딩스,072710,2017/12,71,"전문, 과학 및 기술 서비스업"
(주)농심홀딩스,072710,2018/12,71,"전문, 과학 및 기술 서비스업"
(주)농심홀딩스,072710,2019/12,71,"전문, 과학 및 기술 서비스업"
(주)농심홀딩스,072710,2020/12,71,"전문, 과학 및 기술 서비스업"
(주)농심홀딩스,072710,2021/12,71,"전문, 과학 및 기술 서비스업"
(주)다우기술,023590,2011/12,63,정보통신업
(주)다우기술,023590,2012/12,63,정보통신업
(주)다우기술,023590,2013/12,63,정보통신업
(주)다우기술,023590,2014/12,63,정보통신업
(주)다우기술,023590,2015/12,63,정보통신업
(주)다우기술,023590,2016/12,63,정보통신업
(주)다우기술,023590,2017/12,63,정보통신업
(주)다우기술,023590,2018/12,63,정보통신업
(주)다우기술,023590,2019/12,63,정보통신업
(주)다우기술,023590,2020/12,63,정보통신업
(주)다우기술,023590,2021/12,63,정보통신업
(주)다이나믹디자인,145210,2011/12,29,제조업
(주)다이나믹디자인,145210,2012/12,29,제조업
(주)다이나믹디자인,145210,2013/12,29,제조업
(주)다이나믹디자인,145210,2014/12,29,제조업
(주)다이나믹디자인,145210,2015/12,29,제조업
(주)다이나믹디자인,145210,2016/12,29,제조업
(주)다이나믹디자인,145210,2017/12,29,제조업
(주)다이나믹디자인,145210,2018/12,29,제조업
(주)다이나믹디자인,145210,2019/12,29,제조업
(주)다이나믹디자인,145210,2020/12,29,제조업
(주)다이나믹디자인,145210,2021/12,29,제조업
(주)다함이텍,009280,2011/12,71,"전문, 과학 및 기술 서비스업"
(주)다함이텍,009280,2012/12,71,"전문, 과학 및 기술 서비스업"
(주)대교,019680,2011/12,85,교육 서비스업
(주)대교,019680,2012/12,85,교육 서비스업
(주)대교,019680,2013/12,85,교육 서비스업
(주)대교,019680,2014/12,85,교육 서비스업
(주)대교,019680,2015/12,85,교육 서비스업
(주)대교,019680,2016/12,85,교육 서비스업
(주)대교,019680,2017/12,85,교육 서비스업
(주)대교,019680,2018/12,85,교육 서비스업
